conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,ادارة الفرقة الموسيقية,,,released,2023-11-30T15:53:37.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",توزيع مهام الفرق وإدارتها في مجالات مثل تسجيل الموسيقى وتنظيمها ونسخها والتدريب الصوتي.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,الاشراف على الإجراءات التصحيحية,,,released,2023-11-30T15:04:00.689Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الإشراف على عمليات المرفق التصحيحي أو الإجراءات التصحيحية الأخرى لضمان امتثالها للوائح القانونية، وضمان أن الموظفين يمتثلون للوائح، والهدف لتحسين كفاءة المرفق وسلامته.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,تطبيق ممارسات مناهضة للقمع,,,released,2023-11-28T10:45:53.54Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تحديد القمع في المجتمعات والاقتصاديات والثقافات والجماعات والعمل بطريقة احترافية وغير قمعية؛ مما يمكن مستخدمي الخدمات من اتخاذ إجراء لتحسين حياتهم ويمكِّن المواطنين من تغيير بيئتهم وفقًا لمصالحهم الخاصة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,مراقبة الامتثال للوائح مركبات السكك الحديدية,,,released,2023-11-30T16:29:18.273Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",فحص عربات السكك الحديدية ومكوناتها وأنظمتها لضمان امتثالها للمعايير والمواصفات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,تحديد الخدمات المتاحة,,,released,2023-11-28T10:38:49.206Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تحديد الخدمات المتاحة المختلفة للمجرم أثناء فترة المراقبة لتقديم المساعدة في عملية التأهيل وإعادة الدمج وتقديم المشورة للمجرم بشأن كيفية تحديد الخدمات المتاحة له.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,اجراءت دراسة السموم,,,released,2023-11-30T15:10:42.752Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",إجراء الفحوصات لكشف السموم أو إساءة استخدام العقاقير والمساعدة في الرقابة على العلاج باستخدام كواشف كيميائية وإنزيمات ونظائر مشعة وأجسام مضادة لكشف التركيزات الكيميائية غير الطبيعية في الجسم.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,ضمان تماثل الأصداف,,,released,2023-11-30T16:49:26.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الإشراف على تماثل الأصداف، واستخدام معدات وأدوات الصب، مثل ماكينات اللحام.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,لغة برمجة هاسكل,,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",تقنيات ومبادئ تطوير البرامج، مثل التحليل والخوارزميات والترميز واختبار وجمع نماذج البرمجة في هاسكل.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,التعبير عن المبادرة,,,released,2021-09-02T16:37:00.315Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","التفاعل واتخاذ الخطوة الأولى نحو العمل بدون انتظار الآخرين وما يقولوه أو يعملوه.
  "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,تدريب العاملين على تقليل مخلفات الطعام,,,released,2021-01-20T14:31:01.524Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","وضع تمارين جديدة وأحكام تطوير العاملين لدعم معلوماتهم حول تفادي إنتاج بقايا الطعام وممارسات إعادة تدوير المأكولات. والتأكد من أن العاملين فهموا الأساليب والأدوات التي تسمح بإعادة التدوير مثل فرز المخلفات.
	"
