conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,muziekpersoneel managen,muziekpersoneel leiden,,released,2023-11-30T15:53:37.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Toewijzen en beheren van taken van het personeel op gebieden zoals scoring, het organiseren, kopiëren van muziek en vocale coaching."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,correctionele procedures overzien,,,released,2023-11-30T15:04:00.689Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Toezicht houden op de werking van de correctiemechanismen of andere corrigerende maatregelen, ervoor zorgen dat deze in overeenstemming zijn met de wettelijke voorschriften en erop toezien dat het personeel de voorschriften naleeft; streven naar verbetering van de efficiëntie en veiligheid van het personeel."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,antionderdrukkingspraktijken toepassen,,,released,2023-11-28T10:45:53.54Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Het in kaart brengen van onderdrukking in samenlevingen, economieën, culturen en groepen die als zodanig optreden, op niet-repressieve wijze optreden, gebruikers in staat stellen maatregelen te nemen om hun leven te verbeteren en burgers in staat te stellen hun omgeving te veranderen overeenkomstig hun eigen belangen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,naleving van wetgeving inzake spoorwegvoertuigen controleren,"naleving van wetgeving inzake spoorvoertuigen controleren
naleving van wetgeving inzake railvoertuigen controleren",,released,2023-11-30T16:29:18.273Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Het rollend materieel, de onderdelen en de systemen inspecteren om ervoor te zorgen dat de normen en specificaties worden nageleefd."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,beschikbare diensten identificeren,,,released,2023-11-28T10:38:49.206Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","De verschillende diensten aanwijzen die beschikbaar zijn voor een dader tijdens de proeftijd, teneinde bij te dragen tot het proces van herstel en re-integratie, en de overtreders te adviseren over de wijze waarop zij de hun ter beschikking staande diensten kunnen identificeren."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,toxicologische onderzoeken uitvoeren,toxicologische studies uitvoeren,,released,2023-11-30T15:10:42.752Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Testen uitvoeren om gif- of drugsmisbruik op te sporen en helpen bij het toezicht houden op de behandeling door het gebruik van chemische reagentia, enzymen, radio-isotopen en antilichamen om abnormale chemische concentraties in het lichaam op te sporen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,zorgen voor eenvormigheid van coquilles,,,released,2023-11-30T16:49:26.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",De uniformiteit van coquilles bewaken; gietapparatuur en gereedschap zoals lasmachines gebruiken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","De technieken en beginselen van softwareontwikkeling, zoals analyses, algoritmen, coderen, testen en compileren van programmeerparadigma’s in Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,initiatief aan de dag leggen,,,released,2021-09-02T16:37:00.315Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Proactief zijn en de eerste stap zetten zonder te wachten op wat anderen zeggen of doen.
  "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,personeel opleiden om voedselverspilling tegen te gaan,,,released,2021-01-20T14:31:01.524Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Nieuwe opleidingen en maatregelen voor de ontwikkeling van het personeel opzetten om de kennis van het personeel inzake de preventie van voedselverspilling en praktijken voor voedselrecycling te ondersteunen. Zorgen dat het personeel de methoden en instrumenten voor voedselrecycling begrijpt, bv. het scheiden van afval.
	"
