conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,керувати музичним персоналом,,,released,2023-11-30T15:53:37.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Розподіляти завдання та контролювати їх виконання персоналом в таких сферах, як-от оркестровка, аранжування, копіювання музики та навчання вокалу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,наглядати за виправними процедурами,,,released,2023-11-30T15:04:00.689Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Наглядати за роботою виправної установи або іншими виправними процедурами, забезпечуючи їхню відповідність правовим нормам, а також стежити за тим, щоб персонал дотримувався нормативних актів, і прагнути до підвищення ефективності та безпеки установи.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,застосовувати практику протидії репресіям,,,released,2023-11-28T10:45:53.54Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Визначати прояви пригноблення в суспільствах, економіках, культурах і групах, безперервно діючи в якості професіонала, дозволяючи користувачам послуг вживати заходів для покращення свого життя, а громадянам – змінювати своє оточення відповідно до власних інтересів.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,контролювати дотримання правил користування залізничним транспортом,,,released,2023-11-30T16:29:18.273Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Перевіряти рухомий склад, компоненти та системи для забезпечення відповідності стандартам і специфікаціям.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,визначати доступні послуги,,,released,2023-11-28T10:38:49.206Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Визначати, які послуги доступні правопорушнику під час пробації, щоб допомогти в процесі реабілітації та реінтеграції, а також надавати консультації правопорушникам щодо способів визначення доступних для них послуг.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,проводити токсикологічні дослідження,,,released,2023-11-30T15:10:42.752Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Проводити тести з метою виявлення отруєнь або зловживання лікарськими препаратами та допомагати здійснювати моніторинг терапії за допомогою хімічних реагентів, ферментів, радіоізотопів та антитіл для виявлення аномальних хімічних концентрацій в організмі.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,забезпечувати рівномірність заповнення кокілів,,,released,2023-11-30T16:49:26.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Стежити за рівномірністю заповнення кокілів; використовувати ливарне обладнання та інструменти, зокрема зварювальні апарати.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Методи та принципи розроблення програмного забезпечення, як-от аналіз, алгоритми, кодування, тестування та компіляція парадигм програмування в Haskell.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,проявляти ініціативу,,,released,2021-09-02T16:37:00.315Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Бути проактивним та діяти першим, не чекаючи, що скажуть або зроблять інші.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,навчати персонал зменшенню харчових відходів,,,released,2021-01-20T14:31:01.524Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Створювати нові тренінги та положення про підвищення кваліфікації персоналу для підтримки знань персоналу щодо запобігання марнуванню харчових продуктів та практики переробки харчових продуктів. Переконуватися, що персонал розуміє методи та обладнання для переробки їжі, наприклад, розділення відходів.
	"
